	number_of_night	length_of_night	scorer1_mismatches	mismatchpercent_scorer1	scorer2_mismatches	mismatch_percent_scorer2	scorer3_mismatches	mismatche_percent_scorer_3	scorer4_mismatches	miscmatch_percent_scorer4
0	11	659	28	4.24886191198786	68	10.318664643399089	46	6.980273141122914	176	26.707132018209407
1	19	794	122	15.365239294710328	129	16.24685138539043	181	22.79596977329975	111	13.97984886649874
2	32	782	208	26.598465473145783	186	23.785166240409207	181	23.145780051150894	150	19.18158567774936
3	38	790	63	7.974683544303797	115	14.556962025316455	76	9.620253164556962	166	21.012658227848103
4	57	651	61	9.37019969278034	71	10.906298003072196	63	9.67741935483871	97	14.90015360983103
5	59	781	80	10.243277848911651	86	11.011523687580025	137	17.541613316261202	150	19.206145966709347
6	81	886	95	10.72234762979684	202	22.799097065462753	94	10.609480812641085	128	14.446952595936793
7	83	833	84	10.084033613445378	61	7.322929171668667	100	12.004801920768307	108	12.965186074429772
8	85	783	52	6.641123882503193	54	6.896551724137931	95	12.132822477650064	202	25.798212005108557
9	86	802	161	20.074812967581046	105	13.092269326683292	126	15.710723192019952	201	25.06234413965087
10	87	863	69	7.995365005793744	70	8.111239860950175	99	11.471610660486673	157	18.192352259559673
11	70	831	57	6.859205776173286	82	9.8676293622142	125	15.042117930204574	427	51.383874849578824
12	73	899	79	8.78754171301446	66	7.341490545050055	136	15.127919911012237	124	13.793103448275861
