	number_of_night	length_of_night	scorer1_mismatches	mismatchpercent_scorer1	scorer2_mismatches	mismatch_percent_scorer2	scorer3_mismatches	mismatche_percent_scorer_3	scorer4_mismatches	miscmatch_percent_scorer4	scorer5_mismatches	miscmatch_percent_scorer5
0	26	829	229	27.62364294330519	216	26.05548854041013	220	26.537997587454765	200	24.125452352231605	206	24.125452352231605
1	37	588	146	24.829931972789115	146	24.829931972789115	117	19.897959183673468	128	21.768707482993197	118	21.768707482993197
2	66	871	181	20.780711825487945	208	23.88059701492537	184	21.125143513203216	144	16.532721010332953	146	16.532721010332953
3	69	870	134	15.402298850574713	170	19.54022988505747	106	12.183908045977011	72	8.275862068965518	74	8.275862068965518
4	73	899	153	17.018909899888765	146	16.240266963292544	158	17.57508342602892	106	11.7908787541713	99	11.7908787541713
5	79	826	159	19.249394673123486	168	20.33898305084746	212	25.66585956416465	106	12.832929782082324	120	12.832929782082324
6	80	852	194	22.769953051643192	201	23.591549295774648	143	16.784037558685448	151	17.72300469483568	147	17.72300469483568
7	81	886	130	14.672686230248308	242	27.313769751693002	129	14.559819413092551	116	13.092550790067719	95	13.092550790067719
8	82	872	146	16.743119266055047	172	19.724770642201836	152	17.431192660550458	93	10.6651376146789	106	10.6651376146789
9	83	833	128	15.366146458583433	129	15.486194477791116	159	19.08763505402161	82	9.843937575030012	106	9.843937575030012
